# Mapping of demand for final fuels in GCAM-China (byu version) with detailed industry,,,,,,,,,,,,,,
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,unit_conv
other industrial energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,Final Energy|Industry|Other industry,Final Energy|Industry|Other industry|Solids,Final Energy|Industry|Other industry|Solids|Bioenergy,,1
other industrial energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|Other industry,Final Energy|Industry|Other industry|Solids,Final Energy|Industry|Other industry|Solids|Coal,,1
other industrial energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,Final Energy|Industry|Other industry,Final Energy|Industry|Other industry|Heat,,,1
other industrial energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,Final Energy|Industry|Other industry,Final Energy|Industry|Other industry|Electricity,,,1
other industrial energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,Final Energy|Industry|Other industry,Final Energy|Industry|Other industry|Gases,,,1
other industrial energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Other industry,Final Energy|Industry|Other industry|Hydrogen,,,1
other industrial feedstocks,coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Solids,Final Energy|Non-Energy Use|Solids|Coal,,,,,,,,,,1
other industrial feedstocks,gas,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gas,,,,,,,,,,,1
other industrial feedstocks,refined liquids,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Oil,,,,,,,,,,,1
other industrial energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,Final Energy|Industry|Other industry,Final Energy|Industry|Other industry|Liquids,,,1
other industrial energy use,H2 industrial,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Other industry,Final Energy|Industry|Other industry|Hydrogen,,,1
other industrial energy use,H2 wholesale delivery,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|Other industry,Final Energy|Industry|Other industry|Hydrogen,,,1
resid cooling,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Electricity,Final Energy|Residential and Commercial|Residential|Electricity,Final Energy|Residential and Commercial|Cooling,,,Final Energy|Residential and Commercial|Residential|Cooling,1
resid heating,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Coal,Final Energy|Residential and Commercial|Heating|Space,,,Final Energy|Residential and Commercial|Residential|Heating|Space,1
resid heating,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Heat,Final Energy|Residential and Commercial|Residential|Heat,Final Energy|Residential and Commercial|Heating|Space,,,Final Energy|Residential and Commercial|Residential|Heating|Space,1
resid heating,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Electricity,Final Energy|Residential and Commercial|Residential|Electricity,Final Energy|Residential and Commercial|Heating|Space,,,Final Energy|Residential and Commercial|Residential|Heating|Space,1
resid heating,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Gases,Final Energy|Residential and Commercial|Residential|Gases,Final Energy|Residential and Commercial|Heating|Space,,,Final Energy|Residential and Commercial|Residential|Heating|Space,1
resid heating,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Hydrogen,Final Energy|Residential and Commercial|Residential|Hydrogen,Final Energy|Residential and Commercial|Heating|Space,,,Final Energy|Residential and Commercial|Residential|Heating|Space,1
resid heating,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Liquids,Final Energy|Residential and Commercial|Residential|Liquids,Final Energy|Residential and Commercial|Heating|Space,,,Final Energy|Residential and Commercial|Residential|Heating|Space,1
resid heating,traditional biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Traditional,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Biomass,Final Energy|Residential and Commercial|Heating|Space,Final Energy|Residential and Commercial|Solids|Biomass|Traditional,,Final Energy|Residential and Commercial|Residential|Heating|Space,1
resid others,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Biomass,,,,,1
resid others,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Coal,,,,,1
resid others,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Heat,Final Energy|Residential and Commercial|Residential|Heat,,,,,1
resid others,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Electricity,Final Energy|Residential and Commercial|Residential|Electricity,,,,,1
resid others,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Gases,Final Energy|Residential and Commercial|Residential|Gases,,,,,1
resid others,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Hydrogen,Final Energy|Residential and Commercial|Residential|Hydrogen,,,,,1
resid others,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,Final Energy|Residential and Commercia|Residential,Final Energy|Residential and Commercial|Liquids,Final Energy|Residential and Commercial|Residential|Liquids,,,,,1
